item_id,factory_code,name_spanish,name_hebrew,department,is_anatomical_x9,is_steak,freshness,kosher_type,breed,origin_country,customer
7290008219938,,PECHO ZGB - BLOCK,חזה (אוזן ) ZGB בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219990,,AGUJA RETAIL,צלעות 22 צרכני בקר מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008242516,,BRAZUELO 8K BANANITAS,שריר הזרוע 8K   בקר קפוא פיד לוט,carne,yes,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008242523,,COGOTE FEED LOT,צוואר 10   בקר קפוא פיד לוט,carne,yes,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008242530,,COGOTE RETAIL FEED LOT,צוואר 101   בקר קפוא פיד לוט,carne,yes,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008242547,,TAPA DE BIFE 1B FEED LOT,מכסה ורד הצלע  בקר קפוא פיד לוט,carne,yes,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008242554,,TAPA DE BIFE 1BC FEED LOT,מכסה ורד הצלע BC1 בקר קפוא פיד לוט,carne,no,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008242561,,ASADO FEED LOT,קשתית (אסאדו) 9  בקר קפוא פיד לוט,carne,no,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008242578,,INTER COSTAL FEED LOT,אצבעות אנטריקוט בקר קפוא פיד לוט,carne,no,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008242585,,INTERCOSTAL CON HUESO FEED LOT,אצבעות אנטרקוט  בקר קפוא עם עצם  (מיני אסאדו ) פיד לוט,CARNE CON HUESO,no,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008242592,,ASADO CON HUESO FEED LOT,קשתית (אסאדו)  בקר קפוא עם עצם פיד לוט,CARNE CON HUESO,no,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290008351775,,BIFE ANCHO G,2 סטייק עין G בשר בקר קפוא מוכשר,carne,yes,yes,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290008351782,,BIFE ANCHO S,1 סטייק עין S בשר בקר קפוא מוכשר,carne,yes,yes,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290008351936,,BIFE ANCHO S,1 סטייק עין S בשר בקר קפוא מוכשר,carne,yes,yes,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290008351935,,BIFE ANCHO S,S1 עין מוכשר  טרי,carne,yes,yes,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290008351943,,BIFE ANCHO G,2 סטייק עין G בשר בקר קפוא מוכשר,carne,yes,yes,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290008351942,,BIFE ANCHO G,עין מוכשר  טרי G,carne,yes,yes,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290005689864 ,,COGOTE,צוואר 10  בקר מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290005689871 ,,TAPA DE BIFE 1B,מכסה ורד הצלע (דקל) B1  בקר מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219648 ,,HUESO (DE PECHO),עצמות (חזה ) בקר  קפוא,CARNE CON HUESO,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219655 ,,HUESO (DE COGOTE),עצמות (צוואר) בקר קפוא,CARNE CON HUESO,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219679 ,,HUESO,עצם מוח  בקר קפוא,CARNE CON HUESO,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
1,,AGUJA RETAIL 22,2 צלעות בשר בקר קפוא מוכשר צרכני,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
2,,PECHO 33 RETAIL,3 חזה בשר בקר טרי מוכשר קפוא מוכשר-צרכני,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
3,,PALETA 44 RETAIL,4 כתף מרכזי בשר בקר קפוא מוכשר-צרכני,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
